====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-11 17:24:21
  Platform: Windows 11
====================================================================================================

[17:24:21.787] [INIT] Server starting...
[17:24:21.787] [INIT] Platform: Windows
[17:24:21.789] [INIT] Arduino connected: False
[17:38:35.949] [INFO] Quest 3 connected from 10.201.149.105
[17:38:35.950] [INFO] Active connections: 1
[17:38:47.029] [MODE] MODE 1 ACTIVATED: Manual Control
[17:42:39.626] [TRACK] Mode 4 tracking: X=-13.8cm, Z=-19.1cm, Heading=80.6°
[17:42:42.825] [TRACK] Mode 4 tracking: X=-11.8cm, Z=-15.3cm, Heading=93.2°
[17:42:46.501] [TRACK] Mode 4 tracking: X=48.4cm, Z=15.6cm, Heading=88.0°
[17:42:48.089] [TRACK] Mode 4 tracking: X=85.5cm, Z=26.4cm, Heading=74.5°
[17:42:52.239] [TRACK] Mode 4 tracking: X=96.9cm, Z=47.0cm, Heading=185.9°
[17:42:56.437] [TRACK] Mode 4 tracking: X=98.3cm, Z=47.4cm, Heading=173.8°
[17:42:57.053] [TRACK] Mode 4 tracking: X=98.3cm, Z=47.4cm, Heading=173.1°
[17:42:58.431] [TRACK] Mode 4 tracking: X=99.0cm, Z=47.6cm, Heading=161.4°
[17:43:04.226] [TRACK] Mode 4 tracking: X=98.8cm, Z=47.5cm, Heading=155.1°
[17:43:06.035] [TRACK] Mode 4 tracking: X=96.7cm, Z=47.7cm, Heading=210.8°
[17:43:12.627] [TRACK] Mode 4 tracking: X=83.1cm, Z=3.9cm, Heading=242.6°
[17:43:13.427] [TRACK] Mode 4 tracking: X=70.0cm, Z=-6.8cm, Heading=230.1°
[17:43:13.645] [TRACK] Mode 4 tracking: X=70.0cm, Z=-6.8cm, Heading=228.4°
[17:43:25.626] [TRACK] Mode 4 tracking: X=34.0cm, Z=-28.4cm, Heading=74.6°
[17:43:32.626] [TRACK] Mode 4 tracking: X=33.0cm, Z=-25.5cm, Heading=330.4°
[17:43:34.822] [TRACK] Mode 4 tracking: X=35.6cm, Z=-26.5cm, Heading=64.1°
[17:43:37.822] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:38.226] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:38.824] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
[17:43:41.242] [TRACK] Mode 4 tracking: X=34.5cm, Z=-28.0cm, Heading=79.4°
