====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 12:46:44
  Platform: Windows 11
====================================================================================================

[12:46:44.200] [INIT] Server starting...
[12:46:44.201] [INIT] Platform: Windows
[12:46:44.201] [INIT] Arduino connected: False
[12:48:38.449] [INFO] Quest 3 connected from 192.168.101.105
[12:48:38.450] [INFO] Active connections: 1
[12:54:11.947] [TRACK] Mode 4 tracking: X=10.0cm, Z=-34.3cm, Heading=324.2°
[12:54:14.548] [TRACK] Mode 4 tracking: X=8.3cm, Z=-24.7cm, Heading=322.6°
[12:54:17.154] [TRACK] Mode 4 tracking: X=0.9cm, Z=-27.0cm, Heading=92.9°
[12:54:19.951] [TRACK] Mode 4 tracking: X=9.1cm, Z=-25.0cm, Heading=169.2°
[12:54:20.381] [TRACK] Mode 4 tracking: X=11.4cm, Z=-23.3cm, Heading=256.2°
[12:54:20.752] [TRACK] Mode 4 tracking: X=12.6cm, Z=-22.2cm, Heading=285.9°
[12:54:21.151] [TRACK] Mode 4 tracking: X=12.7cm, Z=-21.9cm, Heading=298.7°
[12:54:23.362] [TRACK] Mode 4 tracking: X=12.2cm, Z=-14.5cm, Heading=282.5°
[12:54:25.152] [TRACK] Mode 4 tracking: X=4.3cm, Z=-9.3cm, Heading=249.8°
[12:54:26.761] [TRACK] Mode 4 tracking: X=0.4cm, Z=-9.4cm, Heading=221.9°
[12:54:28.549] [TRACK] Mode 4 tracking: X=-11.9cm, Z=-20.9cm, Heading=144.0°
[12:54:30.159] [TRACK] Mode 4 tracking: X=5.5cm, Z=-16.5cm, Heading=244.5°
[12:54:30.546] [TRACK] Mode 4 tracking: X=5.6cm, Z=-16.2cm, Heading=257.7°
[12:54:31.547] [TRACK] Mode 4 tracking: X=-10.3cm, Z=-11.7cm, Heading=190.1°
[12:54:31.747] [TRACK] Mode 4 tracking: X=-12.3cm, Z=-16.4cm, Heading=162.3°
[12:54:32.546] [TRACK] Mode 4 tracking: X=-12.1cm, Z=-20.3cm, Heading=110.3°
